unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
MDms;3,Major,Metamorphic,Schist,Mica-schist,,,Mica-schist,,"Bluish-gray to silvery-green, fine-grained, muscovite-chlorite-albite-quartz schist; intensely cleaved and closely folded "
MDms;3,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
MDOCAc;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDOCAc;1,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
MDOCAc;1,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
MDOCAg;2,Major,Sedimentary,Carbonate,Limestone,,,Limestone,, 
MDOCAg;2,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone,, 
MDOcs;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
MDOcs;1,Incidental,Sedimentary,Clastic,Sandstone,Arenite,Calcarenite,Calcarenite ,,
MDOj;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
MDOj;1,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
MDOj;1,Minor,Sedimentary,Clastic,Sandstone,Graywacke,,Graywacke ,,
MDOj;1,Incidental,Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
MDOj;1,Major,Sedimentary,Clastic,Sandstone,,,Sandstone ,,
MDOm;1,Major,Sedimentary,Clastic,Sandstone,Graywacke,,Graywacke ,,
MDOm;1,Minor,Sedimentary,Clastic,Siltstone,,,Siltstone ,,
MDOm;1,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
MDOps;1,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
MDOrr;1,Major,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
MDOrr;1,Major,Sedimentary,Carbonate,Limestone,,,Limestone ,,
MDOrr;1,Minor,Sedimentary,Clastic,Sandstone,Arenite,Calcarenite,Calcarenite ,,
MDOs;1,Minor,Sedimentary,Clastic,Sandstone,Arenite,Calcarenite,Calcarenite ,,
MDOs;1,Minor,Sedimentary,Carbonate,Dolostone,,,Dolostone ,,
