,unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
1611,VATRcs;0,"Indeterminate, major",Sedimentary,Coal,,,,Coal,, 
1612,VATRs;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1613,VATRs1;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1614,VATRsh;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1615,VATRsh;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1616,VATRss;0,Major,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1617,VATRss;0,Major,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1618,VATRss;0,Major,Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1619,VAu;0,Major,Igneous,Plutonic,Ultramafic,,,Ultramafic,, 
1620,VAum;0,Major,Igneous,Plutonic,Ultramafic,,,Ultramafic,, 
1621,VAv;0,Major,Metamorphic,Metaigneous,Metavolcanic,,,Metavolcanic,, 
1622,VAvl;0,Major,Metamorphic,Metasedimentary,Metaclastic,Phyllite,,Phyllite,, 
1623,VAvo;0,Major,Metamorphic,Metaigneous,Metavolcanic,,,Metavolcanic,, 
1624,VAwater;0,Major,Water,,,,,Water,, 
1625,VAYa;0,Minor,Metamorphic,Amphibolite,,,,Amphibolite,, 
1626,VAYa;0,Minor,Metamorphic,Gneiss,,,,Gneiss,, 
1627,VAYa;0,Major,Metamorphic,Schist,,,,Schist,, 
1628,VAYal;0,Major,Igneous,Plutonic,Granitic,Leucocratic-granitic,,Leucocratic-granitic,, 
1629,VAYan;0,Major,Igneous,Plutonic,Anorthosite,,,Anorthosite,, 
1630,VAYbg;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,augen gneiss 
1631,VAYblg;0,Major,Metamorphic,Gneiss,Biotite-gneiss,,,Biotite-gneiss,,granitic gneiss 
1632,VAYbp;0,Major,Metamorphic,Gneiss,,,,Gneiss,,granitic gneiss 
1633,VAYbr;0,Major,Metamorphic,Gneiss,,,,Gneiss,, 
1634,VAYc;0,Major,Igneous,Plutonic,Charnockite,,,Charnockite,, 
1635,VAYcm;0,Major,Metamorphic,Gneiss,,,,Gneiss,,charnockite gneiss 
1636,VAYcz;0,Major,Igneous,Plutonic,Granitic,Granite,,Granite,, 
1637,VAYec;0,Major,Igneous,Plutonic,Syenitic,Quartz-monzonite,,Quartz-monzonite,, 
1638,VAYep;0,Major,Metamorphic,Gneiss,,,,Gneiss,,augen gneiss 
