,Point_Number,Geometry,Quad,Strike,Dip_Angle,Dip_Direct,Interlimb_angle,Vert_Exag,long,lat,Unnamed: 0,Symbol,geometry,Station,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle,IA,Lat_bins
138,4,-080.52887809 37.29447550,Giles,89.0,23.0,SE,,,-080.52887809,37.2944755,,,POINT (-80.52887809 37.2944755),,,,,,,"(37.0, 37.5]"
139,4,-080.46749256 37.32660205,Giles,258.0,58.0,NW,,,-080.46749256,37.32660205,,,POINT (-80.46749256 37.32660205),,,,,,,"(37.0, 37.5]"
140,5,-080.62108191 37.37132921,Giles,64.0,25.0,SE,,,-080.62108191,37.37132921,,,POINT (-80.62108191 37.37132921),,,,,,,"(37.0, 37.5]"
141,5,-080.61391060 37.36306527,Giles,228.0,20.0,NW,,,-080.61391060,37.36306527,,,POINT (-80.6139106 37.36306527),,,,,,,"(37.0, 37.5]"
142,5,-080.60117040 37.39206414,Giles,69.0,23.0,SE,,,-080.60117040,37.39206414,,,POINT (-80.6011704 37.39206414),,,,,,,"(37.0, 37.5]"
143,5,-080.59021644 37.39496338,Giles,64.0,36.0,SE,,,-080.59021644,37.39496338,,,POINT (-80.59021644 37.39496338),,,,,,,"(37.0, 37.5]"
144,5,-080.54949811 37.35953553,Giles,248.0,28.0,NW,,,-080.54949811,37.35953553,,,POINT (-80.54949811 37.35953553),,,,,,,"(37.0, 37.5]"
145,5,-080.53875324 37.36172133,Giles,251.0,16.0,NW,,,-080.53875324,37.36172133,,,POINT (-80.53875324 37.36172133),,,,,,,"(37.0, 37.5]"
146,5,-080.59021644 37.39496338,Giles_SaltPondMountain,,,,141.0,,-080.59021644,37.39496338,,,POINT (-80.59021644 37.39496338),,,,,,141.0,"(37.0, 37.5]"
147,5,-080.53513244 37.35144999,Giles,65.0,20.0,SE,,,-080.53513244,37.35144999,,,POINT (-80.53513244 37.35144999),,,,,,,"(37.0, 37.5]"
148,5,-080.53854040 37.35732861,Giles,253.0,19.0,NW,,,-080.53854040,37.35732861,,,POINT (-80.5385404 37.35732861),,,,,,,"(37.0, 37.5]"
